見出し,店名,年式,リンク,文言,税抜,税込
0,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f5800D1D27F9E4E78BF2E176BC44E8C96&lgsku=24352&rk=1&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=MJXOB7yLdgpLNjHa&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,SW 「BE-ELSW01」20インチ 電動自転車,0,77699
1,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fD3D8116F5875498CABF65D26D7669379&lgsku=16675&rk=2&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=U9BbBLanm0vr21-R&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ビビSX「ELSX63」 26インチ 電動自転車【BBS1902】,0,82460
2,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fADF5A4677BC745D6AF2D89A5428B28D3&lgsku=14474&rk=3&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=PsC6vruICfNrihCb&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ティモ W 「BE-ELWD632」 26インチ 電動自転車【DZSL1812】,0,83500
3,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f583374CC1DFF4284A19FA29BCCE547EC&lgsku=18802&rk=4&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=ne1ADT1ea5vfStKK&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS ナチュラM (パスナチュラM) 24インチ 電動自転車,0,85374
4,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f41CC84B45F4C49A0A6DB9C6914838030&lgsku=16747&rk=5&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=sAQPbc4qvkusZWtb&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,アシスタプリマ 「A6PC18」 26インチ 電動自転車,0,86182
5,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f78890F21D1274AA9B43B3DDB5698E697&lgsku=16674&rk=6&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=G-XQE1098U7SRPmm&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ビビSX「ELSX43」 24インチ 電動自転車,0,86799
6,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fA2E69B4A2D694001B21FD20A5D33537E&lgsku=17093&rk=7&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=pJY5VPAKyk-7Vai7&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,アシスタファインミニ 「A0BC18」 18インチ 電動自転車,0,88233
7,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f9F12ED255B764839935A1CCFCE2A442B&lgsku=17161&rk=8&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=j5FC9jRhm3%3a9LLR1&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ベロスター「ELVS77」700C 7段変速 電動自転車【BBS1902】,0,89701
8,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fA3B6D740F8CF4ED5B2BD91273BAF56DA&lgsku=18801&rk=9&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=Wo3i5qCQbhBMRcLl&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS ナチュラM (パスナチュラM) 26インチ 電動自転車,0,90394
9,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f5853C287EBAA4712B184402832CE41A6&lgsku=17162&rk=10&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=XJFAeCOfGAL5gcrn&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ベロスターミニ「ELVS07」20インチ 7段変速 電動自転車,0,93359
